Item,Model,Product and Quantity Calc,Serial_Number,FA_Number,Status
Digital Radio,XPR7550e,,871TTFE564,R3418,Scanned Out
Digital Radio,XPR7550e,,871TSR9822,R2702,Scanned Out
Digital Radio,XPR7550e,,871TVTC235,R12519,Scanned Out
Digital Radio,XPR7550e,,871TYK8538,R26221,Scanned Out
Digital Radio,XPR7550e,,871TYK9055,R26080,Scanned Out
Digital Radio,XPR7550e,,871TYK8809,R26142,Scanned Out
Digital Radio,XPR7550e,,871TTDL861,R7893,Scanned Out
Digital Radio,XPR7550e,,871tytp502,r28247,Scanned Out
Digital Radio,XPR7550e,,871TTXZ615,R3880,Scanned Out
Digital Radio,XPR7550e,,871TYK8663,R26245,Scanned Out
Digital Radio,XPR7550e,,871TVKG271,R12330,Scanned Out
Digital Radio,XPR7550e,,871TTY9782,R6770,Scanned Out
Digital Radio,XPR7550e,,871TTX8556,R3850,Scanned Out
Digital Radio,XPR7550e,,871TYK8749,R26030,Scanned Out
Digital Radio,XPR7550e,,871TSPY726,R2751,Scanned Out
Digital Radio,XPR7550e,,871TVTC390,R12760,Scanned Out
Digital Radio,XPR7550e,,871TYK8527,R26171,Scanned Out
Digital Radio,XPR7550e,,871TVKG426,R12377,Scanned Out
Digital Radio,XPR7550e,,871TYK9090,R26025,Scanned Out
Digital Radio,XPR7550e,,871TVK8227,R12217,Scanned Out
Digital Radio,XPR7550e,,871TVTC651,R23138,Scanned Out
Digital Radio,XPR7550e,,871TTXZ556,R3913,Scanned Out
Digital Radio,XPR7550e,,871TTXB293,R3855,Scanned Out
Digital Radio,XPR7550e,,871TYK9064,R26047,Scanned Out
Digital Radio,XPR7550e,,871TYF2G10,R26045,Scanned Out
Digital Radio,XPR7550e,,871TVTC844,R12587,Scanned Out
Digital Radio,XPR7550e,,871TTFD822,R3319,Scanned Out
Digital Radio,XPR7550e,,871TVTC250,R12672,Scanned Out
Digital Radio,XPR7550e,,871TTA2527,R7914,Scanned Out
Digital Radio,XPR7550e,,871TTW0535,R25877,Scanned Out
Digital Radio,XPR7550e,,871TYK9030,R26068,Scanned Out
Digital Radio,XPR7550e,,871TYH7239,R26040,Scanned Out
Digital Radio,XPR7550e,,871TVTC206,R12647,Scanned Out
Digital Radio,XPR7550e,,871TTXX781,R6318,Scanned Out
Digital Radio,XPR7550e,,871TYK8516,R26193,Scanned Out
Digital Radio,XPR7550e,,871TTF5664,R3174,Scanned Out
Digital Radio,XPR7550e,,871TWPU499,R22842,Scanned Out
Digital Radio,XPR7550e,,871TTW5773,R3766,Scanned Out
Digital Radio,XPR7550e,,871TTXX950,R3751,Scanned Out
Digital Radio,XPR7550e,,871TYK8784,R26151,Scanned Out
Digital Radio,XPR7550e,,871TYK8576,R26100,Scanned Out
Digital Radio,XPR7550e,,871TSHR823,R2753,Scanned Out
Digital Radio,XPR7550e,,871TTXT468,R3823,Scanned Out
Digital Radio,XPR7550e,,871TTA5787,R18908,Scanned Out
Digital Radio,XPR7550e,,871TUFW332,R14076,Scanned Out
Digital Radio,XPR7550e,,871TYK8691,R26219,Scanned Out
Digital Radio,XPR7550e,,871tsu6031,R3633,Scanned Out
Digital Radio,XPR7550e,,871TWPU332,R22840,Scanned Out
Digital Radio,XPR7550e,,871TVK8008,R12228,Scanned Out
Digital Radio,XPR7550e,,871TVK7459,R12216,Scanned Out
Digital Radio,XPR7550e,,871TYK8959,R26149,Scanned Out
Digital Radio,XPR7550e,,871TVKG401,R12282,Scanned Out
Digital Radio,XPR7550e,,871TYK8751,R24304,Scanned Out
Digital Radio,XPR7550e,,871TYK8797,R26139,Scanned Out
Digital Radio,XPR7550e,,871TYK8288,R24333,Scanned Out
Digital Radio,XPR7550e,,871TYK9063,R26138,Scanned Out
Digital Radio,XPR7550e,,871TTXT380,R6441,Scanned Out
Digital Radio,XPR7550e,,871TVTD357,R12577,Scanned Out
Digital Radio,XPR7550e,,871TYK8973,R26054,Scanned Out
Digital Radio,XPR7550e,,871TYK8930,R26050,Scanned Out
Digital Radio,XPR7550e,,871TVTC345,R12500,Scanned Out
Digital Radio,XPR7550e,,871TYK8856,R26031,Scanned Out
Digital Radio,XPR7550e,,871TTXT422,R14277,Scanned Out
Digital Radio,XPR7550e,,871TYK8883,R26089,Scanned Out
Digital Radio,XPR7550e,,871TYK8716,R26084,Scanned Out
Digital Radio,XPR7550e,,871TTXZ780,R6279,Scanned Out
Digital Radio,XPR7550e,,871TYK8971,R26127,Scanned Out
Digital Radio,XPR7550e,,871TTY9648,R6711,Scanned Out
Digital Radio,XPR7550e,,871TTXY009,R3762,Scanned Out
Digital Radio,XPR7550e,,871TTX8338,R3778,Scanned Out
Digital Radio,XPR7550e,,871TTXY020,R6431,Scanned Out
Digital Radio,XPR7550e,,871TTX8381,R3878,Scanned Out
Digital Radio,XPR7550e,,871TTW0251,R25850,Scanned Out
Digital Radio,XPR7550e,,871tytp600,r28160,Scanned Out
Digital Radio,XPR7550e,,871tytp782,r28236,Scanned Out
Digital Radio,XPR7550e,,871tytp726,r28114,Scanned Out
Digital Radio,XPR7550e,,871TYRQ647,R26278,Scanned Out
Digital Radio,XPR7550e,,871tytp424,r28104,Scanned Out
Digital Radio,XPR7550e,,871tytp607,r28072,Scanned Out
Digital Radio,XPR7550e,,871TTFE504,R3258,Scanned Out
Digital Radio,XPR7550e,,871TTXX896,R3759,Scanned Out
Digital Radio,XPR7550e,,871tytp472,r28133,Scanned Out
Digital Radio,XPR7550e,,871TVTC344,R12688,Scanned Out
Digital Radio,XPR7550e,,871TYTP793,r28125,Scanned Out
Digital Radio,XPR7550e,,871TVK7368,R12327,Scanned Out
Digital Radio,XPR7550e,,871tytp354,r28112,Scanned Out
Digital Radio,XPR7550e,,871TTY9843,R6756,Scanned Out
Digital Radio,XPR7550e,,871tymv031,r28266,Scanned Out
Digital Radio,XPR7550e,,871TYTP277,R28306,Scanned Out
Digital Radio,XPR7550e,,871tyte770,r28088,Scanned Out
Digital Radio,XPR7550e,,871TYTP794,R28294,Scanned Out
Digital Radio,XPR7550e,,871tytp529,r28213,Scanned Out
Digital Radio,XPR7550e,,871TYK8845,R26053,Scanned Out
Digital Radio,XPR7550e,,871TYRN186,R26191,Scanned Out
Digital Radio,XPR7550e,,871tytp518,r28241,Scanned Out
Digital Radio,XPR7550e,,871tytp361,r28115,Scanned Out
Digital Radio,XPR7550e,,871tytp389,r28202,Scanned Out
Digital Radio,XPR7550e,,871TYK8548,R26116,Scanned Out
Digital Radio,XPR7550e,,871TTXY015,R6324,Scanned Out
Digital Radio,XPR7550e,,871tytp462,r28067,Scanned Out
Digital Radio,XPR7550e,,871tytp699,r28212,Scanned Out
Digital Radio,XPR7550e,,871tyte935,r28074,Scanned Out
Digital Radio,XPR7550e,,871tytp475,r28138,Scanned Out
Digital Radio,XPR7550e,,871tytp800,r28154,Scanned Out
Digital Radio,XPR7550e,,871tyte583,r28148,Scanned Out
Digital Radio,XPR7550e,,871TYK8258,R26036,Scanned Out
Digital Radio,XPR7550e,,871TTW6967,R3869,Scanned Out
Digital Radio,XPR7550e,,871tyrp560,r28147,Scanned Out
Digital Radio,XPR7550e,,871tyrq710,r28063,Scanned Out
Digital Radio,XPR7550e,,871tytp267,r28248,Scanned Out
Digital Radio,XPR7550e,,871tytp337,r28143,Scanned Out
Digital Radio,XPR7550e,,871TTXY067,R18922,Scanned Out
Digital Radio,XPR7550e,,871tytp415,r28189,Scanned Out
Digital Radio,XPR7550e,,871tytp704,r28216,Scanned Out
Digital Radio,XPR7550e,,871tymu947,r28264,Scanned Out
Digital Radio,XPR7550e,,871tytp515,r28250,Scanned Out
Digital Radio,XPR7550e,,871tytp501,r28132,Scanned Out
Digital Radio,XPR7550e,,871TTF5643,R3199,Scanned Out
Digital Radio,XPR7550e,,871tytp275,r28071,Scanned Out
Digital Radio,XPR7550e,,871tytp697,r28058,Scanned Out
Digital Radio,XPR7550e,,871tytp542,r28170,Scanned Out
Digital Radio,XPR7550e,,871tytp476,r28198,Scanned Out
Digital Radio,XPR7550e,,871TYTP776,R28300,Scanned Out
Digital Radio,XPR7550e,,871TYTP730,R28310,Scanned Out
Digital Radio,XPR7550e,,871tytp294,r28121,Scanned Out
Digital Radio,XPR7550e,,871tytp523,r28065,Scanned Out
Digital Radio,XPR7550e,,871tytp767,r28209,Scanned Out
Digital Radio,XPR7550e,,871TYTP612,R28299,Scanned Out
Digital Radio,XPR7550e,,871TYTE908,R28277,Scanned Out
Digital Radio,XPR7550e,,871TVTD551,R12569,Scanned Out
Digital Radio,XPR7550e,,871TYTP669,R28128,Scanned Out
Digital Radio,XPR7550e,,871tytp342,r28192,Scanned Out
Digital Radio,XPR7550e,,871tytp510,r28163,Scanned Out
Digital Radio,XPR7550e,,871tytp795,r28153,Scanned Out
Digital Radio,XPR7550e,,871TSPY785,R13916,Scanned Out
Digital Radio,XPR7550e,,871tytp737,r28200,Scanned Out
Digital Radio,XPR7550e,,871TSN4094,R7785,Scanned Out
Digital Radio,XPR7550e,,871tytp698,r28155,Scanned Out
Digital Radio,XPR7550e,,871TYTP688,R28305,Scanned Out
Digital Radio,XPR7550e,,871TTXT318,R18919,Scanned Out
Digital Radio,XPR7550e,,871tytp863,r28193,Scanned Out
Digital Radio,XPR7550e,,871tytp366,r28152,Scanned Out
Digital Radio,XPR7550e,,871TYK8896,R26087,Scanned Out
Digital Radio,XPR7550e,,871TTX8545,R6280,Scanned Out
Digital Radio,XPR7550e,,871tyte775,r28073,Scanned Out
Digital Radio,XPR7550e,,871TYK8936,R26046,Scanned Out
Digital Radio,XPR7550e,,871tytp771,r28244,Scanned Out
Digital Radio,XPR7550e,,871TYK8718,R26091,Scanned Out
Digital Radio,XPR7550e,,871tytp386,r28070,Scanned Out
Digital Radio,XPR7550e,,871tytp489,r28057,Scanned Out
Digital Radio,XPR7550e,,871tytf139,r28079,Scanned Out
Digital Radio,XPR7550e,,871TYK8451,R26141,Scanned Out
Digital Radio,XPR7550e,,871TTXX902,R6413,Scanned Out
Digital Radio,XPR7550e,,871TYK8626,R26059,Scanned Out
Digital Radio,XPR7550e,,871TYK8802,R26028,Scanned Out
Digital Radio,XPR7550e,,871TYK8922,R26088,Scanned Out
Digital Radio,XPR7550e,,871tytp274,r28134,Scanned Out
Digital Radio,XPR7550e,,871tytp412,r28059,Scanned Out
Digital Radio,XPR7550e,,871TTXT418,R14165,Scanned Out
Digital Radio,XPR7550e,,871TVKG103,R12424,Scanned Out
Digital Radio,XPR7550e,,871TYTP459,R28130,Scanned Out
Digital Radio,XPR7550e,,871tytp519,r28156,Scanned Out
Digital Radio,XPR7550e,,871tytp799,r28237,Scanned Out
Digital Radio,XPR7550e,,871tytp543,r28122,Scanned Out
Digital Radio,XPR7550e,,871TTW7366,R6281,Scanned Out
Digital Radio,XPR7550e,,871TTV7580,R6692,Scanned Out
Digital Radio,XPR7550e,,871TYTE942,R28280,Scanned Out
Digital Radio,XPR7550e,,871TTA2531,R7890,Scanned Out
Digital Radio,XPR7550e,,871TYK8251,R26294,Scanned Out
Digital Radio,XPR7550e,,871TYTP747,R28307,Scanned Out
Digital Radio,XPR7550e,,871TTY9695,R6759,Scanned Out
Digital Radio,XPR7550e,,871TTDX402,R3168,Scanned Out
Digital Radio,XPR7550e,,871TVTC233,R12544,Scanned Out
Digital Radio,XPR7550e,,871tytp328,r28124,Scanned Out
Digital Radio,XPR7550e,,871TVTC284,R12720,Scanned Out
Digital Radio,XPR7550e,,871TVTM119,R18910,Scanned Out
Digital Radio,XPR7550e,,871tytp668,r28215,Scanned Out
Digital Radio,XPR7550e,,871tytp284,r28120,Scanned Out
Digital Radio,XPR7550e,,871TVTC167,R12565,Scanned Out
Digital Radio,XPR7550e,,871TYK8316,R26295,Scanned Out
Digital Radio,XPR7550e,,871tymu893,r28271,Scanned Out
Digital Radio,XPR7550e,,871tytp482,r28251,Scanned Out
Repeater,XPR8400,,484TQE2652,R26964,Scanned Out
Repeater,XPR8400,,484TNW4262,R22507,Scanned Out
Repeater,XPR8400,,484TRL0002,R26965,Scanned Out
